Candidatura;Provincia;Candidatos;Nombre y Apellidos;twitter;web;facebook
;Santa Cruz de Tenerife;1;Ana María Zurita Expósito;;;
;Segovia;1;Beatriz Marta Escudero Berzal;;;
;Sevilla;2;María Teresa Jiménez Becerril Barrio;;;
;;;María Soledad Cruz-Guzmán García;;;
;Soria;1;Tomás Cabezón Casas;;;
;Teruel;1;José Alberto Herrero Bono;;;
;Toledo;2;Vicente Tirado Ochoa;;;
;;;Carmen Riolobos Regadera;;;
;Valencia / València;3;Belén Hoyo Juliá;;;
;;;Vicente Betoret Coll;;;
;;;Luís Javier Santamaría Ruíz;;;
;Valladolid;1;Isabel García Tejerina;;;
;Zamora;1;María Isabel Blanco Llamas;;;
;Zaragoza;1;Eloy Suárez Lamata;;;
Cs - CIUDADANOS-PARTIDO DE LA CIUDADANÍA;;;;@CiudadanosCs;;
;A Coruña;1;Marta Rivera de la Cruz;;;
;Albacete;1;María Dolores Arteaga Espinosa de los Monteros;;;
;Alicante / Alacant;2;Marta Martín Llaguno;;;
;;;Ignacio López-Bas Valero;;;
;Almería;1;José Manuel Villegas Pérez;;;
;Asturias;1;José Ignacio Prendes Prendes;;;
;Ávila;1;Manuel Hernández Muñoz;;;
;Badajoz;1;María José Calderón Díaz;;;
;Barcelona;4;Inés Arrimadas García;;;
;;;Antonio Roldán Monés;;;
;;;Fernando Tomás de Páramo Gómez;;;
;;;José María Espejo-Saavedra Conesa;;;
;Burgos;1;Aurora Nacarino-Brabo Jiménez;;;
;Cáceres;1;María Victoria Domínguez Paredes;;;
;Cádiz;2;María del Carmen Martínez Granados;;;
;;;Francisco Javier Cano Leal;;;
;Cantabria;1;Rubén Gómez González;;;
;Castellón / Castelló;1;Maria Sandra Julia Julia;;;
;Ciudad Real;1;Francisco Javier Fernández-Bravo García;;;
;Córdoba;1;Marcial Gómez Balsera;;;
;Granada;1;Francisco Javier Hervías Chirosa;;;
;Guadalajara;1;María de los Ángeles Rosado Peinado;;;
;Huelva;1;Carlos Juan Hermoso Ayuso;;;
;Huesca;1;Lourdes Guillén Figuerola;;;
;Illes Balears;1;Joan Mesquida Ferrando;;;
